score,n_gram,Ranking
-6.607460668479512,excellent,38.0
-6.607460668479512,perfect,38.0
-6.607460668479512,slim,38.0
-6.607460668479512,something,38.0
-6.607460668479512,times,38.0
-6.607460668479512,two,38.0
-6.607460668479512,us,38.0
-6.607460668479512,rushed,38.0
-6.607460668479512,waiting,38.0
-6.712821184137338,kiss,39.0
-6.712821184137338,big,39.0
-6.712821184137338,erotic,39.0
-6.712821184137338,eyes,39.0
-6.712821184137338,games,39.0
-6.712821184137338,hair,39.0
-6.712821184137338,jessica,39.0
-6.712821184137338,king,39.0
-6.712821184137338,meet,39.0
-6.712821184137338,unrushed,39.0
-6.712821184137338,outcall,39.0
-6.712821184137338,pictures,39.0
-6.712821184137338,pleasanton,39.0
-6.712821184137338,provide,39.0
-6.712821184137338,relax,39.0
-6.712821184137338,today,39.0
-6.712821184137338,midnight,39.0
-6.830604219793722,donations,40.0
-6.830604219793722,incalls,40.0
-6.830604219793722,fetish,40.0
-6.830604219793722,fantasy,40.0
-6.830604219793722,mateo,40.0
-6.830604219793722,avail,40.0
-6.830604219793722,ask,40.0
-6.830604219793722,area,40.0
-6.830604219793722,jose,40.0
-6.830604219793722,smooth,40.0
-6.830604219793722,mind,40.0
-6.830604219793722,oo,40.0
-6.830604219793722,petite,40.0
-6.830604219793722,skills,40.0
-6.830604219793722,star,40.0
-6.830604219793722,ultimate,40.0
-6.830604219793722,mixed,40.0
-6.964135612418245,dream,41.0
-6.964135612418245,korean,41.0
-6.964135612418245,ki,41.0
-6.964135612418245,keep,41.0
-6.964135612418245,going,41.0
-6.964135612418245,first,41.0
-6.964135612418245,bombshell,41.0
-6.964135612418245,different,41.0
-6.964135612418245,curves,41.0
-6.964135612418245,coco,41.0
-6.964135612418245,around,41.0
-6.964135612418245,absolutely,41.0
-6.964135612418245,legs,41.0
-6.964135612418245,lb,41.0
-6.964135612418245,smile,41.0
-6.964135612418245,loving,41.0
-6.964135612418245,satisfaction,41.0
-6.964135612418245,measurements,41.0
-6.964135612418245,yoyo,41.0
-6.964135612418245,specials,41.0
-6.964135612418245,serious,41.0
-6.964135612418245,vanessa,41.0
-6.964135612418245,respectful,41.0
-6.964135612418245,relaxing,41.0
-6.964135612418245,private,41.0
-6.964135612418245,night,41.0
-6.964135612418245,need,41.0
-7.118286292245504,intimate,42.0
-7.118286292245504,double,42.0
-7.118286292245504,high,42.0
-7.118286292245504,helen,42.0
-7.118286292245504,guarantee,42.0
-7.118286292245504,friend,42.0
-7.118286292245504,fremont,42.0
-7.118286292245504,forget,42.0
-7.118286292245504,flirtatious,42.0
-7.118286292245504,five,42.0
-7.118286292245504,fellas,42.0
-7.118286292245504,bella,42.0
-7.118286292245504,dont,42.0
-7.118286292245504,deep,42.0
-7.118286292245504,days,42.0
-7.118286292245504,blonde,42.0
-7.118286292245504,also,42.0
-7.118286292245504,away,42.0
-7.118286292245504,appt,42.0
-7.118286292245504,anything,42.0
