,Title,Studio,LifetimeGross,LifetimeTheaters,OpeningGross,OpeningTheaters,ReleaseYear
829,The Burning Plain,Magn.,"$200,730",26,"$58,749",21,9/18/2009
830,Jennifer's Body,Fox,"$16,204,793","2,738","$6,868,397","2,702",9/18/2009
831,Bright Star,App.,"$4,444,637",380,"$189,703",19,9/16/2009
832,The September Issue,RAtt.,"$3,820,067",143,"$220,633",6,8/28/2009
833,Whiteout,WB,"$10,275,638","2,745","$4,915,104","2,745",9/11/2009
834,Steve McQueen: The Man & Le Mans,FR,"$6,843",2,"$4,079",2,11/13/2015
835,Whiteout,WB,"$10,275,638","2,745","$4,915,104","2,745",9/11/2009
836,Crude,FRun,"$170,295",7,"$16,595",1,9/9/2009
837,The Burning Plain,Magn.,"$200,730",26,"$58,749",21,9/18/2009
838,Puss in Boots 2: Nine Lives & 40 Thieves,Fox,n/a,n/a,n/a,n/a,TBD
839,All About Steve,Fox,"$33,862,903","2,265","$11,241,214","2,251",9/4/2009
840,Big Fan,FInd.,"$234,540",15,"$24,266",2,8/28/2009
841,Extraction,LGP,"$16,775",13,"$10,948",13,12/18/2015
842,It Might Get Loud,SPC,"$1,610,163",75,"$92,679",7,8/14/2009
843,District 9,TriS,"$115,646,235","3,180","$37,354,308","3,049",8/14/2009
844,Beeswax,CGld,"$46,590",3,"$5,844",1,8/7/2009
845,Julieta,SPC,n/a,n/a,n/a,n/a,12/21/2016
846,Lorna's Silence,SPC,"$338,795",23,"$34,411",6,7/31/2009
847,G-Force,BV,"$119,436,770","3,697","$31,706,934","3,697",7/24/2009
848,In the Loop,IFC,"$2,388,804",92,"$191,866",8,7/24/2009
849,(500) Days of Summer,FoxS,"$32,391,374","1,048","$834,501",27,7/17/2009
850,I Love You Beth Cooper,Fox,"$14,800,725","1,872","$4,919,433","1,858",7/10/2009
851,Soul Power,SPC,"$207,121",23,"$23,893",6,7/10/2009
852,My Sister's Keeper,WB (NL),"$49,200,230","2,606","$12,442,212","2,606",6/26/2009
853,The Hurt Locker,Sum.,"$17,017,811",535,"$145,352",4,6/26/2009
854,$9.99,Reg.,"$52,384",4,$478,1,12/12/2008
855,Whatever Works,SPC,"$5,306,706",353,"$266,162",9,6/19/2009
856,The Taking of Pelham 1 2 3,Sony,"$65,452,312","3,077","$23,373,102","3,074",6/12/2009
857,The Moon and the Sun,Par.,n/a,n/a,n/a,n/a,TBD
858,Away We Go,Focus,"$9,451,946",506,"$130,411",4,6/5/2009
859,The Hangover Part III,WB,"$112,200,072","3,565","$41,671,198","3,555",5/23/2013
860,The Girlfriend Experience,Magn.,"$695,840",48,"$162,965",30,5/22/2009
861,Terminator Salvation,WB,"$125,322,469","3,602","$42,558,390","3,530",5/21/2009
862,Jerichow,CGld,"$60,379",3,"$8,042",3,5/15/2009
863,The Better Angels,Ampl.,"$70,918",24,"$4,246",2,11/7/2014
864,Little Ashes,Reg.,"$481,586",16,"$73,394",12,5/8/2009
865,Beyond Outrage,Magn.,"$3,878",1,"$1,938",1,1/3/2014
866,Rudo Y Cursi,SPC,"$1,827,660",219,"$211,460",70,5/8/2009
867,Revanche,Jan.,"$192,451",10,"$16,330",3,5/1/2009
868,X-Men Origins: Wolverine,Fox,"$179,883,157","4,102","$85,058,003","4,099",5/1/2009
869,The Informers,SenD,"$300,000",482,"$300,000",482,4/24/2009
870,Tyson,SPC,"$887,918",56,"$85,046",11,4/24/2009
871,Fighting,Uni.,"$23,091,010","2,312","$11,024,370","2,309",4/24/2009
872,State of Play,Uni.,"$37,017,955","2,807","$14,071,280","2,803",4/17/2009
873,Sleep Dealer,Maya,"$80,136",18,"$35,050",18,4/17/2009
874,Every Little Step,SPC,"$1,725,141",70,"$68,504",8,4/17/2009
875,Anvil! The Story of Anvil,Abr.,"$667,911",27,"$34,651",3,4/10/2009
876,The Mysteries of Pittsburgh,PArch,"$80,238",20,"$37,572",20,4/10/2009
877,Hot Sugar's Cold World,Ampl.,n/a,n/a,n/a,n/a,11/13/2015
878,Adventureland,Mira.,"$16,044,025","1,876","$5,722,039","1,862",4/3/2009
879,Tulpan,Zeit.,"$158,741",4,"$8,620",1,4/1/2009
880,Monsters Vs. Aliens,P/DW,"$198,351,526","4,136","$59,321,095","4,104",3/27/2009
881,Goodbye Solo,RAtt.,"$870,781",34,"$38,042",3,3/27/2009
882,Talent Has Hunger,FRun,"$6,418",1,"$3,709",1,3/11/2016
883,Knowing,Sum.,"$79,957,634","3,337","$24,604,751","3,332",3/20/2009
884,Duplicity,Uni.,"$40,572,825","2,579","$13,965,110","2,574",3/20/2009
885,Race to Witch Mountain,BV,"$67,172,594","3,268","$24,402,214","3,187",3/13/2009
886,Sunshine Cleaning,Over.,"$12,062,558",642,"$219,190",4,3/13/2009
887,Watchmen,WB,"$107,509,799","3,611","$55,214,334","3,611",3/6/2009
888,Examined Life,Zeit.,"$120,712",6,"$12,085",1,2/25/2009
889,Tyler Perry's Madea Goes to Jail,LGF,"$90,508,336","2,203","$41,030,947","2,032",2/20/2009
890,Katyn,Koch,"$118,095",2,"$11,053",1,2/18/2009
891,Two Lovers,Magn.,"$3,149,034",148,"$94,986",7,2/13/2009
892,The International,Sony,"$25,450,527","2,364","$9,331,739","2,364",2/13/2009
893,Coraline,Focus,"$75,286,229","2,320","$16,849,640","2,299",2/6/2009
894,The Uninvited,P/DW,"$28,596,818","2,344","$10,325,824","2,344",1/30/2009
895,Medicine for Melancholy,IFC,"$111,551",7,"$12,625",1,1/30/2009
896,Inkheart,WB (NL),"$17,303,424","2,655","$7,601,379","2,655",1/23/2009
897,Of Time and the City,Strand,"$32,677",2,"$5,595",1,1/21/2009
898,Notorious (2009),FoxS,"$36,843,682","1,641","$20,497,596","1,638",1/16/2009
899,Not Easily Broken,SGem,"$10,572,742",725,"$5,314,278",724,1/9/2009
900,Made in U.S.A. (re-issue),Rialto,"$95,209",2,"$11,147",1,1/9/2009
901,Defiance,ParV,"$28,644,813","1,793","$123,513",2,12/31/2008
902,Vita Activa: The Spirit of Hannah Arendt,Zeit.,"$82,143",4,"$13,244",1,4/6/2016
903,Waltz with Bashir,SPC,"$2,283,849",208,"$50,021",5,12/25/2008
904,The Curious Case of Benjamin Button,Par.,"$127,509,326","2,988","$26,853,816","2,988",12/25/2008
905,Seven Pounds,Sony,"$69,951,824","2,758","$14,851,136","2,758",12/19/2008
906,Steve McQueen: The Man & Le Mans,FR,"$6,843",2,"$4,079",2,11/13/2015
907,The Wrestler,FoxS,"$26,238,243",776,"$202,714",4,12/17/2008
908,The Day the Earth Stood Still (2008),Fox,"$79,366,978","3,560","$30,480,153","3,560",12/12/2008
909,Wendy and Lucy,Osci.,"$865,695",40,"$18,218",2,12/10/2008
910,Punisher: War Zone,LGF,"$8,050,977","2,508","$4,271,451","2,508",12/5/2008
911,Cadillac Records,Sony,"$8,195,551",701,"$3,445,559",687,12/5/2008
912,Four Christmases,WB (NL),"$120,146,040","3,540","$31,069,826","3,310",11/26/2008
913,Bhaag Milkha Bhaag,Relbig.,"$1,636,731",140,"$647,112",140,7/12/2013
914,Bolt,BV,"$114,053,579","3,654","$26,223,128","3,651",11/21/2008
915,Quantum of Solace,Sony,"$168,368,427","3,501","$67,528,882","3,451",11/14/2008
916,Soul Men,MGM/W,"$12,082,391","2,048","$5,401,605","2,044",11/7/2008
917,Splinterheads,Pala.,"$16,392",3,"$10,515",1,11/6/2009
918,Zack and Miri Make a Porno,Wein.,"$31,457,946","2,735","$10,065,630","2,735",10/31/2008
919,Run for Your Life,Scre.,"$2,992",1,"$2,537",1,10/29/2008
920,Changeling,Uni.,"$35,739,802","1,896","$489,015",15,10/24/2008
921,The Princess of Nebraska,Magn.,n/a,n/a,n/a,n/a,N/A
922,Pride & Glory,WB (NL),"$15,740,721","2,585","$6,262,396","2,585",10/24/2008
923,I've Loved You So Long,SPC,"$3,169,305",69,"$72,205",9,10/24/2008
924,What Just Happened?,Magn.,"$1,090,947",88,"$192,508",36,10/17/2008
925,The Secret Life of Bees,FoxS,"$37,770,162","1,630","$10,527,799","1,591",10/17/2008
926,Max Payne,Fox,"$40,689,393","3,381","$17,639,849","3,376",10/17/2008
927,Murder on the Orient Express (2017),Fox,n/a,n/a,n/a,n/a,11/22/2017
928,Body of Lies,WB,"$39,394,666","2,714","$12,884,416","2,710",10/10/2008
929,Nick and Norah's Infinite Playlist,Sony,"$31,487,293","2,421","$11,311,751","2,421",10/3/2008
930,Eagle Eye,P/DW,"$101,440,743","3,614","$29,150,721","3,510",9/26/2008
931,Rachel Getting Married,SPC,"$12,796,841",391,"$293,369",9,10/3/2008
932,Blindness,Mira.,"$3,351,751","1,690","$1,950,260","1,690",10/3/2008
933,Miracle at St. Anna,BV,"$7,919,117","1,185","$3,477,996","1,185",9/26/2008
934,Appaloosa,WB (NL),"$20,211,394","1,290","$248,847",14,9/19/2008
935,Lakeview Terrace,SGem,"$39,263,506","2,574","$15,004,672","2,464",9/19/2008
936,City of Women (2016 re-issue),Cohen,"$12,516",1,"$6,244",1,2/19/2016
937,Moving Midway,FRun,"$40,864",4,"$6,539",2,9/12/2008
938,Sukiyaki Western Django,First,"$50,659",4,"$9,856",1,8/29/2008
939,Our Kind of Traitor,RAtt.,"$2,787,256",399,"$984,698",373,7/1/2016
940,Bottle Shock,Free,"$4,078,607",401,"$278,075",48,8/6/2008
941,Brideshead Revisited,Mira.,"$6,432,256",501,"$339,616",33,7/25/2008
942,American Teen,ParV,"$942,441",109,"$45,589",5,7/25/2008
943,Man on Wire,Magn.,"$2,962,242",93,"$51,392",2,7/25/2008
944,Mamma Mia!,Uni.,"$144,130,063","3,194","$27,751,240","2,976",7/18/2008
945,Full Battle Rattle,MEnd,"$12,306",1,"$3,216",1,7/9/2008
946,The Wackness,SPC,"$2,077,116",142,"$138,401",6,7/3/2008
947,WALL-E,BV,"$223,808,164","3,992","$63,087,526","3,992",6/27/2008
948,Brick Lane,SPC,"$1,095,398",49,"$47,124",7,6/20/2008
949,The Love Guru,Par.,"$32,235,793","3,012","$13,907,130","3,012",6/20/2008
950,My Winnipeg,IFC,"$159,363",10,"$14,309",2,6/13/2008
951,The Incredible Hulk,Uni.,"$134,806,913","3,508","$55,414,050","3,505",6/13/2008
952,Mongol,PicH,"$5,705,761",253,"$135,326",5,6/6/2008
953,You Don't Mess with the Zohan,Sony,"$100,018,837","3,466","$38,531,374","3,462",6/6/2008
954,Savage Grace,IFC,"$435,746",22,"$22,311",2,5/28/2008
955,Delta Farce,LGF,"$8,130,530","1,931","$3,420,645","1,931",5/11/2007
956,The Chronicles of Narnia: Prince Caspian,BV,"$141,621,490","3,929","$55,034,805","3,929",5/16/2008
957,The Tracey Fragments,Think,"$32,645",4,n/a,n/a,5/9/2008
958,Speed Racer,WB,"$43,945,766","3,606","$18,561,337","3,606",5/9/2008
959,Steve McQueen: The Man & Le Mans,FR,"$6,843",2,"$4,079",2,11/13/2015
960,Mister Lonely,IFC,"$167,396",8,"$16,769",1,5/2/2008
961,A Very Harold & Kumar 3D Christmas,WB,"$35,061,031","2,875","$12,954,142","2,875",11/4/2011
962,Roman de Gare,Gold.,"$1,852,764",38,"$25,484",2,4/25/2008
963,Where in the World Is Osama Bin Laden?,Wein.,"$384,955",102,"$148,698",102,4/18/2008
964,The Forbidden Kingdom,LGF,"$52,075,270","3,151","$21,401,121","3,151",4/18/2008
965,Forgetting Sarah Marshall,Uni.,"$63,172,463","2,872","$17,725,330","2,798",4/18/2008
966,Smart People,Mira.,"$9,511,289","1,119","$4,092,465","1,106",4/11/2008
967,Visitors (2014),Cdgm.,"$84,577",13,"$9,094",1,1/24/2014
968,The Campaign,WB,"$86,907,746","3,302","$26,588,460","3,205",8/10/2012
969,My Blueberry Nights,Wein.,"$867,275",69,"$74,146",6,4/4/2008
970,Leatherheads,Uni.,"$31,373,938","2,798","$12,682,595","2,769",4/4/2008
971,Superhero Movie,MGM/W,"$25,881,068","2,965","$9,510,297","2,960",3/28/2008
972,Popstar: Never Stop Never Stopping,Uni.,"$9,496,130","2,313","$4,698,715","2,311",6/3/2016
973,Irina Palm,Strand,"$44,383",4,"$3,474",1,3/21/2008
974,Tyler Perry's Meet the Browns,LGF,"$41,975,388","2,016","$20,082,809","2,006",3/21/2008
975,Love Songs,IFC,"$104,567",7,"$20,488",2,3/21/2008
976,Funny Games,WIP,"$1,294,919",288,"$544,833",286,3/14/2008
977,Dr. Seuss' Horton Hears a Who!,Fox,"$154,529,439","3,961","$45,012,998","3,954",3/14/2008
978,Snow Angels,WIP,"$402,858",47,"$14,247",2,3/7/2008
979,Chicago 10,RAtt.,"$177,490",14,"$42,724",14,2/29/2008
980,Chop Shop,Koch,"$125,045",3,"$8,475",1,2/27/2008
981,The Counterfeiters,SPC,"$5,488,570",170,"$87,514",8,2/22/2008
982,"Be Kind, Rewind",NL,"$11,175,164",810,"$4,050,655",808,2/22/2008
983,The Spiderwick Chronicles,Par.,"$71,195,053","3,847","$19,004,058","3,847",2/14/2008
984,Fool's Gold,WB,"$70,231,041","3,125","$21,589,295","3,125",2/8/2008
985,Caramel,RAtt.,"$1,055,580",50,"$71,916",11,2/1/2008
986,Over Her Dead Body,NL,"$7,563,670","1,977","$4,025,115","1,977",2/1/2008
987,27 Dresses,Fox,"$76,808,654","3,074","$23,007,725","3,057",1/18/2008
988,Summer Palace,Palm,"$63,045",3,"$8,717",1,1/18/2008
989,Taxi to the Dark Side,Think,"$274,661",20,"$10,930",2,1/18/2008
990,Beaufort,Kino,"$102,591",6,"$6,808",2,1/18/2008
991,First Sunday,SGem,"$37,931,869","2,213","$17,714,821","2,213",1/11/2008
992,The Orphanage,PicH,"$7,161,284",707,"$233,323",19,12/28/2007
993,Persepolis,SPC,"$4,445,756",536,"$88,826",7,12/25/2007
994,Charlie Wilson's War,Uni.,"$66,661,095","2,594","$9,656,250","2,575",12/21/2007
995,Sweeney Todd: The Demon Barber of Fleet Street,P/DW,"$52,898,073","1,507","$9,300,805","1,249",12/21/2007
996,I Am Legend,WB,"$256,393,010","3,648","$77,211,321","3,606",12/14/2007
997,Atonement,Focus,"$50,927,067","1,400","$784,145",32,12/7/2007
998,Juno,FoxS,"$143,495,265","2,534","$413,869",7,12/5/2007
999,The Diving Bell and the Butterfly,Mira.,"$6,003,227",213,"$75,721",3,11/30/2007
1000,Starting Out in the Evening,RAtt.,"$898,786",43,"$76,214",7,11/23/2007
1001,I'm Not There,Wein.,"$4,017,609",149,"$730,819",130,11/21/2007
1002,Margot at the Wedding,ParV,"$1,959,420",121,"$81,035",2,11/16/2007
1003,Redacted,Magn.,"$65,388",15,"$25,628",15,11/16/2007
1004,Saawariya,Sony,"$885,574",85,"$542,192",85,11/9/2007
1005,No Country for Old Men,Mira.,"$74,283,625","2,037","$1,226,333",28,11/9/2007
1006,Joe Strummer: The Future Is Unwritten,IFC,"$248,362",17,"$20,880",2,11/2/2007
1007,Bee Movie,P/DW,"$126,631,277","3,984","$38,021,044","3,928",11/2/2007
1008,Pete Seeger: The Power of Song,Wein.,"$88,312",3,"$11,945",1,10/26/2007
1009,Dan in Real Life,BV,"$47,642,963","1,941","$11,809,445","1,921",10/26/2007
1010,Before the Devil Knows You're Dead,Think,"$7,084,227",321,"$73,837",2,10/26/2007
1011,Rendition,NL,"$9,736,045","2,250","$4,060,012","2,250",10/19/2007
1012,Wristcutters: A Love Story,ADF,"$446,165",91,"$42,808",3,10/19/2007
1013,We Own the Night,Sony,"$28,563,179","2,402","$10,826,287","2,362",10/12/2007
1014,Command and Control,AEF,n/a,n/a,n/a,n/a,9/14/2016
1015,My Kid Could Paint That,SPC,"$231,574",20,"$26,290",8,10/5/2007
1016,The Heartbreak Kid,P/DW,"$36,787,257","3,233","$14,022,105","3,229",10/5/2007
1017,The Darjeeling Limited,FoxS,"$11,902,715",698,"$134,938",2,9/29/2007
1018,Golden Kingdom,KL,"$8,077",2,$554,1,6/17/2016
1019,Good Luck Chuck,LGF,"$35,017,297","2,612","$13,652,001","2,612",9/21/2007
1020,Into the Wild,ParV,"$18,354,356",660,"$212,440",4,9/21/2007
1021,Eastern Promises,Focus,"$17,266,000","1,408","$547,092",15,9/14/2007
1022,Great World of Sound,Magn.,"$22,011",4,"$6,129",2,9/14/2007
1023,In the Valley of Elah,WIP,"$6,777,741",978,"$133,557",9,9/14/2007
1024,The Brave One,WB,"$36,793,804","2,837","$13,471,488","2,755",9/14/2007
1025,Shoot 'Em Up,NL,"$12,807,139","2,108","$5,716,554","2,108",9/7/2007
1026,3:10 to Yuma (2007),LGF,"$53,606,916","3,006","$14,035,033","2,652",9/7/2007
1027,Balls of Fury,Rog.,"$32,886,940","3,081","$11,352,123","3,052",8/29/2007
1028,Hot Rod,Par.,"$13,938,332","2,607","$5,310,711","2,607",8/3/2007
1029,El Cantante,PicH,"$7,556,712",542,"$3,202,035",542,8/3/2007
1030,No End in Sight,Magn.,"$1,433,319",117,"$31,533",2,7/27/2007
1031,The Simpsons Movie,Fox,"$183,135,014","3,926","$74,036,787","3,922",7/27/2007
1032,Hairspray (2007),NL,"$118,871,849","3,121","$27,476,745","3,121",7/20/2007
1033,Live in Maid,FSC,"$200,433",6,"$15,581",1,7/18/2007
1034,My Best Friend's Girl,LGF,"$19,219,250","2,636","$8,265,357","2,604",9/19/2008
1035,Talk to Me,Focus,"$4,533,261",193,"$402,000",33,7/13/2007
1036,Harry Potter and the Order of the Phoenix,WB,"$292,004,738","4,285","$77,108,414","4,285",7/11/2007
1037,Introducing the Dwights,WIP,"$379,408",70,"$27,734",4,7/4/2007
1038,License to Wed,WB,"$43,799,818","2,715","$10,422,258","2,604",7/3/2007
1039,Ratatouille,BV,"$206,445,654","3,940","$47,027,395","3,940",6/29/2007
1040,In Between Days,Kino,"$23,465",4,"$5,065",1,6/27/2007
1041,Black Sheep (2007),IFC,"$84,283",8,"$16,102",4,6/22/2007
1042,Lady Chatterley,Kino,"$687,414",23,"$32,814",5,6/22/2007
1043,Evan Almighty,Uni.,"$100,462,298","3,636","$31,192,615","3,604",6/22/2007
1044,Sicko,LGF,"$24,540,079","1,117","$68,969",1,6/22/2007
1045,Nancy Drew,WB,"$25,612,520","2,612","$6,832,318","2,612",6/15/2007
1046,Knocked Up,Uni.,"$148,768,917","2,975","$30,690,990","2,871",6/1/2007
1047,The Golden Door,Mira.,"$1,070,769",33,"$27,744",2,5/25/2007
1048,Shrek the Third,P/DW,"$322,719,944","4,172","$121,629,270","4,122",5/18/2007
1049,Once I Was a Beehive,Purd.,"$732,655",32,"$48,409",19,8/14/2015
1050,Georgia Rule,Uni.,"$19,103,072","2,531","$6,773,870","2,523",5/11/2007
1051,I Don't Want to Sleep Alone,Strand,"$19,292",1,"$4,377",1,5/9/2007
1052,You're Not You,EOne,"$11,486",5,"$9,226",5,10/10/2014
1053,Away from Her,LGF,"$4,571,521",275,"$114,628",13,5/4/2007
1054,Waitress,FoxS,"$19,074,800",707,"$92,034",4,5/2/2007
1055,Jindabyne,SPC,"$400,438",25,"$28,298",6,4/27/2007
1056,Syndromes and a Century,Strand,"$16,675",2,"$5,518",2,4/18/2007
1057,Aqua Teen Hunger Force Colon Movie Film for Theaters,First,"$5,520,368",877,"$3,005,175",877,4/13/2007
1058,Disturbia,P/DW,"$80,209,692","3,132","$22,224,982","2,925",4/13/2007
1059,Redemption Road,Free,"$29,384",26,"$19,152",26,8/26/2011
1060,The TV Set,Think,"$265,198",19,"$34,531",8,4/6/2007
1061,American Grindhouse,Lorb.,"$5,529",2,n/a,n/a,6/18/2010
1062,The Hoax,Mira.,"$7,164,995","1,069","$1,449,320",235,4/6/2007
1063,Meet the Robinsons,BV,"$97,822,171","3,435","$25,123,781","3,413",3/30/2007
1064,Offside,SPC,"$180,530",17,"$18,003",5,3/23/2007
1065,Reign Over Me,Sony,"$19,661,987","1,747","$7,460,690","1,671",3/23/2007
1066,Cobra Verde (re-issue),518,"$12,702",1,"$7,402",1,3/23/2007
1067,The Wind That Shakes the Barley,IFC,"$1,836,089",50,"$135,554",15,3/16/2007
1068,I Think I Love My Wife,FoxS,"$12,550,605","1,794","$5,674,802","1,776",3/16/2007
1069,300: Rise of An Empire,WB,"$106,580,051","3,490","$45,038,460","3,470",3/7/2014
1070,Exterminating Angels,IFC,"$23,308",2,"$6,485",1,3/7/2007
1071,Wild Hogs,BV,"$168,273,550","3,401","$39,699,023","3,287",3/2/2007
1072,Black Snake Moan,ParV,"$9,396,870","1,253","$4,143,199","1,252",3/2/2007
1073,Into Great Silence,Zeit.,"$790,452",19,"$11,355",1,2/28/2007
1074,The Abandoned,ADF,"$1,331,137","1,000","$782,000","1,000",2/23/2007
1075,The Wayward Cloud,N/A,n/a,n/a,n/a,n/a,N/A
1076,The Astronaut Farmer,WB,"$11,003,643","2,155","$4,454,319","2,155",2/23/2007
1077,Music and Lyrics,WB,"$50,572,589","2,955","$13,623,630","2,955",2/14/2007
1078,Bamako,NYer,"$112,351",4,"$10,183",1,2/14/2007
1079,Norbit,P/DW,"$95,673,607","3,145","$34,195,434","3,136",2/9/2007
1080,The Lives of Others,SPC,"$11,286,112",259,"$213,589",9,2/9/2007
1081,Because I Said So,Uni.,"$42,674,040","2,529","$13,122,865","2,526",2/2/2007
1082,An Unreasonable Man,IFC,"$176,647",11,"$9,813",1,1/31/2007
1083,Epic Movie,Fox,"$39,739,367","2,840","$18,612,544","2,801",1/26/2007
1084,Smokin' Aces,Uni.,"$35,787,686","2,219","$14,638,755","2,218",1/26/2007
1085,Breaking and Entering,Wein.,"$930,469",95,n/a,1,12/15/2006
1086,Primeval,BV,"$10,597,734","2,444","$6,048,315","2,444",1/12/2007
1087,Comedy of Power,Koch,"$80,550",2,"$10,061",1,1/5/2007
1088,Pan's Labyrinth,PicH,"$37,634,615","1,143","$568,641",17,12/29/2006
1089,Perfume - The Story of a Murderer,P/DW,"$2,223,293",280,"$37,079",3,12/27/2006
1090,Venus in Fur,IFC,"$373,605",45,"$24,761",2,6/20/2014
1091,Letters from Iwo Jima,WB,"$13,756,082",781,"$89,097",5,12/20/2006
1092,Charlotte's Web (2006),Par.,"$82,985,708","3,745","$11,457,353","3,566",12/15/2006
1093,Dreamgirls,P/DW,"$103,365,956","2,797","$378,950",3,12/15/2006
1094,Unaccompanied Minors,WB,"$16,655,224","2,775","$5,815,474","2,775",12/8/2006
1095,Apocalypto,BV,"$50,866,635","2,465","$15,005,604","2,465",12/8/2006
1096,Days of Glory,Wein.,"$320,700",29,"$10,996",2,12/6/2006
1097,10 Items or Less,Think,"$83,291",15,"$35,929",15,12/1/2006
1098,The Nativity Story,NL,"$37,629,831","3,083","$7,849,304","3,083",12/1/2006
1099,Deck the Halls,Fox,"$35,093,569","3,205","$12,001,256","3,205",11/22/2006
1100,The Fountain,WB,"$10,144,010","1,472","$3,768,702","1,472",11/22/2006
1101,Bringing Up Bobby,Mont.,"$4,975",4,"$1,005",1,9/28/2012
1102,Fast Food Nation,FoxS,"$1,005,539",321,"$410,804",321,11/17/2006
1103,Stranger Than Fiction,Sony,"$40,660,952","2,270","$13,411,093","2,264",11/10/2006
1104,Iraq in Fragments,Arab,"$204,462",12,"$24,435",7,11/8/2006
1105,Flushed Away,P/DW,"$64,665,672","3,707","$18,814,323","3,707",11/3/2006
1106,Volver,SPC,"$12,899,867",689,"$197,703",5,11/3/2006
1107,Babel,ParV,"$34,302,837","1,251","$389,351",7,10/27/2006
1108,Absolute Wilson,NYer,"$66,217",3,"$6,879",2,10/27/2006
1109,Death of a President,NM,"$519,086",143,"$281,778",143,10/27/2006
1110,The Prestige,BV,"$53,089,891","2,305","$14,801,808","2,281",10/20/2006
1111,Running with Scissors,Sony,"$7,022,827",586,"$226,108",8,10/20/2006
1112,51 Birch Street,Truly,"$84,689",6,"$10,827",2,10/18/2006
1113,Deliver Us From Evil,SGem,"$30,577,122","3,049","$9,740,471","3,049",7/2/2014
1114,Tideland,Think,"$66,453",9,"$7,276",1,10/13/2006
1115,Infamous,WIP,"$1,151,330",179,"$452,966",179,10/13/2006
1116,Marie Antoinette,Sony,"$15,962,471",870,"$5,361,050",859,10/20/2006
1117,Man of the Year,Uni.,"$37,327,390","2,626","$12,299,380","2,515",10/13/2006
1118,49 Up,FRun,"$241,772",21,"$53,277",21,10/6/2006
1119,Guardians of the Galaxy Vol. 2,BV,n/a,n/a,n/a,n/a,5/5/2017
1120,A Guide to Recognizing Your Saints,First,"$517,809",60,"$94,784",8,9/29/2006
1121,Little Children,NL,"$5,463,019",115,"$97,953",5,10/6/2006
1122,The Science of Sleep,WIP,"$4,670,644",243,"$347,925",14,9/22/2006
1123,All the King's Men,Sony,"$7,221,458","1,520","$3,672,366","1,514",9/22/2006
1124,Solo Con Tu Pareja,IFC,"$9,915",1,"$3,921",1,9/20/2006
1125,The Last Kiss (2006),P/DW,"$11,614,790","1,359","$4,627,989","1,357",9/15/2006
1126,The U.S. Vs. John Lennon,LGF,"$1,109,146",65,"$69,143",6,9/15/2006
1127,Al Franken: God Spoke,Bal.,"$102,990",10,"$10,533",2,9/13/2006
1128,I Trust You to Kill Me,FInd.,"$12,854",1,"$5,888",1,9/8/2006
1129,Sherrybaby,IFC,"$199,176",13,"$34,774",5,9/8/2006
1130,Paper Dolls,Strand,"$36,577",3,"$7,870",3,9/6/2006
1131,Steve McQueen: The Man & Le Mans,FR,"$6,843",2,"$4,079",2,11/13/2015
1132,Conversations with Other Women,Fabr.,"$379,418",14,"$66,157",13,8/11/2006
1133,The House of Sand,SPC,"$539,285",32,"$31,405",5,8/11/2006
1134,World Trade Center,Par.,"$70,278,893","3,021","$18,730,762","2,957",8/9/2006
1135,The Puffy Chair,IDP,"$194,523",7,"$26,029",7,6/2/2006
1136,The Night Listener,Mira.,"$7,836,393","1,370","$3,554,134","1,367",8/4/2006
1137,Talladega Nights: The Ballad of Ricky Bobby,Sony,"$148,213,377","3,807","$47,042,215","3,803",8/4/2006
1138,Antoine and Antoinette (2013 re-issue),Rialto,"$9,704",1,"$4,147",1,9/25/2013
1139,Miami Vice,Uni.,"$63,450,470","3,026","$25,723,815","3,021",7/28/2006
1140,Clerks II,MGM/W,"$24,148,068","2,150","$10,061,132","2,150",7/21/2006
1141,Monster House,Sony,"$73,661,010","3,553","$22,217,226","3,553",7/21/2006
1142,Time to Leave,Strand,"$117,686",5,"$20,717",5,7/21/2006
1143,Excellent Cadavers,Icar.,"$22,300",1,"$6,695",1,7/12/2006
1144,Pirates of the Caribbean: Dead Man's Chest,BV,"$423,315,812","4,133","$135,634,554","4,133",7/7/2006
1145,The Great Yokai War,MB,n/a,n/a,n/a,n/a,6/30/2006
1146,The Devil Wears Prada,Fox,"$124,740,460","2,882","$27,537,244","2,847",6/30/2006
1147,Strangers with Candy,Think,"$2,072,645",109,"$43,141",2,6/28/2006
1148,The Great New Wonderful,FInd.,"$150,142",8,"$39,712",8,6/23/2006
1149,The Road to Guantanamo,IDP,"$326,876",25,"$61,138",15,6/23/2006
1150,Waist Deep,Rog.,"$21,344,312","1,006","$9,404,180","1,004",6/23/2006
1151,Pandora's Box (1929) (re-issue),Kino,"$53,485",2,"$9,950",1,6/16/2006
1152,The Lake House,WB,"$52,330,111","2,645","$13,616,196","2,645",6/16/2006
1153,A Prairie Home Companion,PicH,"$20,342,852",767,"$4,566,293",760,6/9/2006
1154,The Break-Up,Uni.,"$118,703,275","3,146","$39,172,785","3,070",6/2/2006
1155,The War Tapes,SenA,"$254,190",9,"$12,268",1,6/2/2006
1156,Lemming,Strand,"$81,698",4,"$11,310",2,5/19/2006
1157,An Inconvenient Truth,ParC,"$24,146,161",587,"$281,330",4,5/24/2006
1158,The Da Vinci Code,Sony,"$217,536,138","3,757","$77,073,388","3,735",5/19/2006
