,Title,Studio,LifetimeGross,LifetimeTheaters,OpeningGross,OpeningTheaters,ReleaseYear
310,Much Ado About Nothing (2013),RAtt.,"$4,328,849",222,"$171,942",5,6/7/2013
311,From the East,Icar.,"$2,436",1,$564,1,4/17/2016
312,Vita Activa: The Spirit of Hannah Arendt,Zeit.,"$82,143",4,"$13,244",1,4/6/2016
313,Fill the Void,SPC,"$1,775,316",64,"$59,164",3,5/24/2013
314,Before Midnight,SPC,"$8,114,627",897,"$246,914",5,5/24/2013
315,Frances Ha,IFC,"$4,069,826",233,"$137,398",4,5/17/2013
316,Augustine,MBox,"$107,352",10,"$13,616",5,5/17/2013
317,Star Trek Into Darkness,Par.,"$228,778,661","3,907","$70,165,559","3,868",5/16/2013
318,Venus and Serena,Magn.,"$51,271",8,"$10,981",4,5/10/2013
319,The Great Gatsby (2013),WB,"$144,840,419","3,550","$50,085,185","3,535",5/10/2013
320,Something in the Air,IFC,"$85,154",10,"$13,288",3,5/3/2013
321,What Maisie Knew,MNE,"$1,066,471",122,"$21,480",1,5/3/2013
322,Paradise: Love,Strand,"$24,267",4,"$6,014",2,4/26/2013
323,Big Muddy,Mont.,$881,3,$147,2,1/23/2015
324,The Painting (2013),GK,"$21,008",6,"$3,626",1,5/10/2013
325,Ain't In It For My Health: A Film About Levon Helm,KL,"$113,966",10,"$7,937",1,4/19/2013
326,In My Father's House,OIH,n/a,n/a,n/a,n/a,10/9/2015
327,42,WB,"$95,020,213","3,405","$27,487,144","3,003",4/12/2013
328,To The Wonder,Magn.,"$587,615",60,"$116,551",17,4/12/2013
329,Blancanieves,Cohen,"$279,735",27,"$25,264",4,3/29/2013
330,The Place Beyond the Pines,Focus,"$21,403,519","1,584","$279,457",4,3/29/2013
331,The Sapphires,Wein.,"$2,450,867",126,"$38,372",4,3/22/2013
332,Olympus Has Fallen,FD,"$98,925,640","3,106","$30,373,794","3,098",3/22/2013
333,Gimme the Loot,IFC,"$104,442",10,"$21,065",1,3/22/2013
